timestamp,device_id,gas,client,pressure,temperature,volume
2026-04-11 00:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.54,20.17,0.542
2026-04-11 01:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.56,18.37,0.542
2026-04-11 02:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.57,17.43,0.543
2026-04-11 03:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.56,15.79,0.543
2026-04-11 04:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.57,15.6,0.543
2026-04-11 05:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.57,15.74,0.543
2026-04-11 06:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.58,15.94,0.543
2026-04-11 07:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.57,16.51,0.543
2026-04-11 08:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.58,16.63,0.543
2026-04-11 09:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.55,17.3,0.542
2026-04-11 10:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.55,18.09,0.542
2026-04-11 11:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.57,18.76,0.543
2026-04-11 12:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.58,19.68,0.543
2026-04-11 13:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.58,19.35,0.543
2026-04-11 14:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.59,19.51,0.544
2026-04-11 15:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.59,19.78,0.543
2026-04-11 16:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.58,19.59,0.543
2026-04-11 17:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.58,19.26,0.543
2026-04-11 18:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.57,19.08,0.543
2026-04-11 19:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.57,18.75,0.543
2026-04-11 20:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.58,18.38,0.543
2026-04-11 21:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.58,18.11,0.543
2026-04-11 22:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.56,16.79,0.542
2026-04-11 23:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.56,15.98,0.543
2026-04-12 00:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.57,15.4,0.543
2026-04-12 01:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.53,14.39,0.541
2026-04-12 02:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.54,13.96,0.542
2026-04-12 03:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.53,13.54,0.541
2026-04-12 04:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.51,14.13,0.54
2026-04-12 05:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.5,14.43,0.54
2026-04-12 06:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.5,15.49,0.54
2026-04-12 07:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.47,16.33,0.539
2026-04-12 08:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.46,16.97,0.539
2026-04-12 09:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.46,17.0,0.538
2026-04-12 10:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.46,18.06,0.538
2026-04-12 11:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.46,18.71,0.538
2026-04-12 12:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.47,19.27,0.539
2026-04-12 13:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.45,20.16,0.538
2026-04-12 14:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.43,20.32,0.537
2026-04-12 15:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.43,20.2,0.537
2026-04-12 16:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.41,19.83,0.536
2026-04-12 17:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.43,20.36,0.537
2026-04-12 18:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.41,19.88,0.536
2026-04-12 19:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.38,19.01,0.535
2026-04-12 20:00:00,BTL-AC-0001,Acetileno,Soldaduras Pla,13.4,18.74,0.536
